Key,Pinky,Ring,Middle,Index,"Thumb (blue, green, yellow, left-to-right)",Notes
a|,x,,|,,,
b|x,,,|,,,
c|x,,x|,,,
d|,xxx|,,,
e|,,,.|,,,
f|,xx,|,g,
g|,,x,|,g,
h|,x,,|,g,
i|,,x,|,,,
j|,xxx|,g,
k|x,x,|,g,
l|x,x,|,,,
m|,,,x|,g,
n|,.,.|,,,
o|,.,,|.,,
p|.,.,|.,,,
q|.,.,|.,.,g,
r|,,.,|.,,
s|.,,,|,,
t|.,.,|,,,
u|.,.,|.,.,,
v|.,.,|,,g,
w|,.,,|.,g,
x|.,,,|.,g,
y|,,.,|.,g,
z|.,.,|.,,g,
Space|,,,.,b,
Tab|,,.,,b,
Shift|,,,,g,Is a modifier key
Alt|,,,,b,Is a modifier key
Control|,,,,y,Is a modifier key
Enter|,,.,.,b,
ONE|,,,.,y,
TWO|,,.,,y,
THREE|,.,,,y,
FOUR|.,,,,y,
FIVE|,,.,.,y,
SIX|,.,.,,y,
SEVEN|.,.,,,y,
EIGHT|,.,,.,y,
NINE|.,,.,,y,
ZERO|,.,.,.,y,
period|,.,,,b,
comma|,.,,.,b,
forward_slash|.,.,,,b,
grave_accent|.,.,.,.,b,
minus|.,,,,b,
equals|,.,.,.,b,
left_bracket|.,,.,,b,
right_bracket|.,,,.,b,
backslash|.,.,.,,b,
semicolon|.,.,,.,b,
quote|.,,.,.,b,
backspace|,.,.,,b,
right_arrow|.,,.,.,y,
left_arrow|.,.,,.,y,
up_arrow|.,,,.,y,
down_arrow|.,.,.,.,y,
escape|.,.,.,,y,
Home|.,,.,.,,Is a modifier key
End|.,.,,.,,
Windows|.,.,,.,g,
Delete|.,,.,.,g,
